SB 13BB
Hand,OS,OR,CALL,FOLD
QcJs,0,25,75,0
Kc2c,0,0,100,0
Kc3c,0,0,100,0
Kc4c,0,0,100,0
Kc5c,50,0,50,0
Kc6c,75,0,25,0
Kc7c,0,0,100,0
Kc8c,0,0,100,0
Kc9c,0,0,100,0
KcTc,0,0,100,0
KcJc,0,0,100,0
KcQc,0,25,75,0
Kc2d,0,0,100,0
Kc3d,0,0,100,0
Kc4d,0,0,100,0
Kc5d,0,25,75,0
Kc6d,0,25,75,0
Kc7d,0,25,75,0
Kc8d,0,25,75,0
Kc9d,0,25,75,0
KcTd,25,25,50,0
KcJd,0,25,75,0
KcQd,0,25,75,0
Kc2h,0,0,100,0
Kc3h,0,0,100,0
Kc4h,0,0,100,0
Kc5h,0,25,75,0
Kc6h,0,25,75,0
Kc7h,0,25,75,0
Kc8h,0,25,75,0
Kc9h,0,25,75,0
KcTh,25,25,50,0
KcJh,0,25,75,0
KcQh,0,25,75,0
Kc2s,0,0,100,0
Kc3s,0,0,100,0
Kc4s,0,0,100,0
Kc5s,0,25,75,0
Kc6s,0,25,75,0
Kc7s,0,25,75,0
Kc8s,0,25,75,0
Kc9s,0,25,75,0
KcTs,25,25,50,0
KcJs,0,25,75,0
KcQs,0,25,75,0
Ac2c,50,0,50,0
Ac3c,0,0,100,0
Ac4c,0,0,100,0
Ac5c,0,0,100,0
Ac6c,0,0,100,0
Ac7c,0,25,75,0
Ac8c,0,25,75,0
Ac9c,0,50,50,0
AcTc,0,25,75,0
AcJc,0,25,75,0
AcQc,0,75,25,0
AcKc,0,75,25,0
Ac2d,100,0,0,0
Ac3d,100,0,0,0
Ac4d,100,0,0,0
Ac5d,75,0,25,0
Ac6d,50,0,50,0
Ac7d,25,0,75,0
Ac8d,50,0,50,0
Ac9d,50,25,25,0
AcTd,0,0,100,0
AcJd,0,0,100,0
AcQd,0,25,75,0
AcKd,0,25,75,0
Ac2h,100,0,0,0
Ac3h,100,0,0,0
Ac4h,100,0,0,0
Ac5h,75,0,25,0
Ac6h,50,0,50,0
Ac7h,25,0,75,0
Ac8h,50,0,50,0
Ac9h,50,25,25,0
AcTh,0,0,100,0
AcJh,0,0,100,0
AcQh,0,25,75,0
AcKh,0,25,75,0
Ac2s,100,0,0,0
Ac3s,100,0,0,0
Ac4s,100,0,0,0
Ac5s,75,0,25,0
Ac6s,50,0,50,0
Ac7s,25,0,75,0
Ac8s,50,0,50,0
Ac9s,50,25,25,0
AcTs,0,0,100,0
AcJs,0,0,100,0
AcQs,0,25,75,0
AcKs,0,25,75,0
2d2c,100,0,0,0
3d2c,0,0,0,100
3d3c,100,0,0,0
3d2d,0,0,100,0
3d2h,0,0,0,100
3d2s,0,0,0,100
4d2c,0,0,0,100
4d3c,0,0,75,25
4d4c,50,0,50,0
4d2d,0,0,100,0
4d3d,0,0,100,0
4d2h,0,0,0,100
4d3h,0,0,75,25
4d2s,0,0,0,100
4d3s,0,0,75,25
5d2c,0,0,50,50
5d3c,0,0,100,0
5d4c,0,25,75,0
5d5c,0,0,100,0
5d2d,0,0,100,0
5d3d,0,0,100,0
5d4d,0,0,100,0
5d2h,0,0,50,50
5d3h,0,0,100,0
5d4h,0,25,75,0
5d2s,0,0,50,50
5d3s,0,0,100,0
5d4s,0,25,75,0
6d2c,0,0,0,100
6d3c,0,0,100,0
6d4c,0,0,100,0
6d5c,0,25,75,0
6d6c,0,25,75,0
6d2d,0,25,75,0
6d3d,0,25,75,0
6d4d,0,0,100,0
6d5d,25,0,75,0
6d2h,0,0,0,100
6d3h,0,0,100,0
6d4h,0,0,100,0
6d5h,0,25,75,0
6d2s,0,0,0,100
6d3s,0,0,100,0
6d4s,0,0,100,0
6d5s,0,25,75,0
7d2c,0,0,0,100
7d3c,0,0,25,75
7d4c,0,0,100,0
7d5c,0,0,100,0
7d6c,0,0,100,0
7d7c,0,0,100,0
7d2d,0,0,100,0
7d3d,0,25,75,0
7d4d,0,0,100,0
7d5d,0,0,100,0
7d6d,50,0,50,0
7d2h,0,0,0,100
7d3h,0,0,25,75
7d4h,0,0,100,0
7d5h,0,0,100,0
7d6h,0,0,100,0
7d2s,0,0,0,100
7d3s,0,0,25,75
7d4s,0,0,100,0
7d5s,0,0,100,0
7d6s,0,0,100,0
8d2c,0,0,0,100
8d3c,0,0,50,50
8d4c,0,0,100,0
8d5c,0,0,100,0
8d6c,0,0,100,0
8d7c,0,0,100,0
8d8c,0,0,100,0
8d2d,0,0,100,0
8d3d,0,25,75,0
8d4d,0,50,50,0
8d5d,0,0,100,0
8d6d,0,0,100,0
8d7d,75,25,0,0
8d2h,0,0,0,100
8d3h,0,0,50,50
8d4h,0,0,100,0
8d5h,0,0,100,0
8d6h,0,0,100,0
8d7h,0,0,100,0
8d2s,0,0,0,100
8d3s,0,0,50,50
8d4s,0,0,100,0
8d5s,0,0,100,0
8d6s,0,0,100,0
8d7s,0,0,100,0
9d2c,0,0,80,20
9d3c,0,0,100,0
9d4c,0,0,100,0
9d5c,0,25,75,0
9d6c,0,25,75,0
9d7c,0,25,75,0
9d8c,0,0,100,0
9d9c,0,25,75,0
9d2d,0,25,75,0
9d3d,0,25,75,0
9d4d,0,50,50,0
9d5d,0,0,100,0
9d6d,0,0,100,0
9d7d,25,0,75,0
9d8d,0,25,75,0
9d2h,0,0,80,20
9d3h,0,0,100,0
9d4h,0,0,100,0
9d5h,0,25,75,0
9d6h,0,25,75,0
9d7h,0,25,75,0
9d8h,0,0,100,0
9d2s,0,0,80,20
9d3s,0,0,100,0
9d4s,0,0,100,0
9d5s,0,25,75,0
9d6s,0,25,75,0
9d7s,0,25,75,0
9d8s,0,0,100,0
Td2c,0,0,100,0
Td3c,0,0,100,0
Td4c,0,0,100,0
Td5c,0,0,100,0
Td6c,0,25,75,0
Td7c,0,25,75,0
Td8c,0,25,75,0
Td9c,0,0,100,0
TdTc,0,25,75,0
Td2d,0,0,100,0
Td3d,0,25,75,0
Td4d,0,0,100,0
Td5d,0,25,75,0
Td6d,0,0,100,0
Td7d,0,0,100,0
Td8d,0,25,75,0
Td9d,0,25,75,0
Td2h,0,0,100,0
Td3h,0,0,100,0
Td4h,0,0,100,0
Td5h,0,0,100,0
Td6h,0,25,75,0
Td7h,0,25,75,0
Td8h,0,25,75,0
Td9h,0,0,100,0
Td2s,0,0,100,0
Td3s,0,0,100,0
Td4s,0,0,100,0
Td5s,0,0,100,0
Td6s,0,25,75,0
Td7s,0,25,75,0
Td8s,0,25,75,0
Td9s,0,0,100,0
Jd2c,0,0,100,0
Jd3c,0,0,100,0
Jd4c,0,0,100,0
Jd5c,0,25,75,0
Jd6c,0,25,75,0
Jd7c,0,25,75,0
Jd8c,0,25,75,0
Jd9c,0,0,100,0
JdTc,0,0,100,0
JdJc,0,0,100,0
Jd2d,0,0,100,0
Jd3d,0,0,100,0
Jd4d,0,0,100,0
Jd5d,0,0,100,0
Jd6d,0,0,100,0
Jd7d,0,0,100,0
Jd8d,0,0,100,0
Jd9d,0,25,75,0
JdTd,0,25,75,0
Jd2h,0,0,100,0
Jd3h,0,0,100,0
Jd4h,0,0,100,0
Jd5h,0,25,75,0
Jd6h,0,25,75,0
Jd7h,0,25,75,0
Jd8h,0,25,75,0
Jd9h,0,0,100,0
JdTh,0,0,100,0
Jd2s,0,0,100,0
Jd3s,0,0,100,0
Jd4s,0,0,100,0
Jd5s,0,25,75,0
Jd6s,0,25,75,0
Jd7s,0,25,75,0
Jd8s,0,25,75,0
Jd9s,0,0,100,0
JdTs,0,0,100,0
Qd2c,0,0,100,0
Qd3c,0,0,100,0
Qd4c,0,0,100,0
Qd5c,0,25,75,0
Qd6c,0,25,75,0
Qd7c,0,25,75,0
Qd8c,0,25,75,0
Qd9c,0,0,100,0
QdTc,0,25,75,0
QdJc,0,25,75,0
QdQc,0,25,75,0
Qd2d,0,0,100,0
Qd3d,0,0,100,0
Qd4d,0,0,100,0
Qd5d,0,0,100,0
Qd6d,0,0,100,0
Qd7d,0,0,100,0
Qd8d,75,0,25,0
Qd9d,0,0,100,0
QdTd,0,0,100,0
QdJd,0,0,100,0
Qd2h,0,0,100,0
Qd3h,0,0,100,0
Qd4h,0,0,100,0
Qd5h,0,25,75,0
Qd6h,0,25,75,0
Qd7h,0,25,75,0
Qd8h,0,25,75,0
Qd9h,0,0,100,0
QdTh,0,25,75,0
QdJh,0,25,75,0
Qd2s,0,0,100,0
Qd3s,0,0,100,0
Qd4s,0,0,100,0
Qd5s,0,25,75,0
Qd6s,0,25,75,0
Qd7s,0,25,75,0
Qd8s,0,25,75,0
Qd9s,0,0,100,0
QdTs,0,25,75,0
QdJs,0,25,75,0
Kd2c,0,0,100,0
Kd3c,0,0,100,0
Kd4c,0,0,100,0
Kd5c,0,25,75,0
Kd6c,0,25,75,0
Kd7c,0,25,75,0
Kd8c,0,25,75,0
Kd9c,0,25,75,0
KdTc,25,25,50,0
KdJc,0,25,75,0
KdQc,0,25,75,0
KdKc,0,25,75,0
Kd2d,0,0,100,0
Kd3d,0,0,100,0
Kd4d,0,0,100,0
Kd5d,50,0,50,0
Kd6d,75,0,25,0
Kd7d,0,0,100,0
Kd8d,0,0,100,0
Kd9d,0,0,100,0
KdTd,0,0,100,0
KdJd,0,0,100,0
KdQd,0,25,75,0
Kd2h,0,0,100,0
Kd3h,0,0,100,0
Kd4h,0,0,100,0
Kd5h,0,25,75,0
Kd6h,0,25,75,0
Kd7h,0,25,75,0
Kd8h,0,25,75,0
Kd9h,0,25,75,0
KdTh,25,25,50,0
KdJh,0,25,75,0
KdQh,0,25,75,0
Kd2s,0,0,100,0
Kd3s,0,0,100,0
Kd4s,0,0,100,0
Kd5s,0,25,75,0
Kd6s,0,25,75,0
Kd7s,0,25,75,0
Kd8s,0,25,75,0
Kd9s,0,25,75,0
KdTs,25,25,50,0
KdJs,0,25,75,0
KdQs,0,25,75,0
Ad2c,100,0,0,0
Ad3c,100,0,0,0
Ad4c,100,0,0,0
Ad5c,75,0,25,0
Ad6c,50,0,50,0
Ad7c,25,0,75,0
Ad8c,50,0,50,0
Ad9c,50,25,25,0
AdTc,0,0,100,0
AdJc,0,0,100,0
AdQc,0,25,75,0
AdKc,0,25,75,0
AdAc,0,75,25,0
Ad2d,50,0,50,0
Ad3d,0,0,100,0
Ad4d,0,0,100,0
Ad5d,0,0,100,0
Ad6d,0,0,100,0
Ad7d,0,25,75,0
Ad8d,0,25,75,0
Ad9d,0,50,50,0
AdTd,0,25,75,0
AdJd,0,25,75,0
AdQd,0,75,25,0
AdKd,0,75,25,0
Ad2h,100,0,0,0
Ad3h,100,0,0,0
Ad4h,100,0,0,0
Ad5h,75,0,25,0
Ad6h,50,0,50,0
Ad7h,25,0,75,0
Ad8h,50,0,50,0
Ad9h,50,25,25,0
AdTh,0,0,100,0
AdJh,0,0,100,0
AdQh,0,25,75,0
AdKh,0,25,75,0
Ad2s,100,0,0,0
Ad3s,100,0,0,0
Ad4s,100,0,0,0
Ad5s,75,0,25,0
Ad6s,50,0,50,0
Ad7s,25,0,75,0
Ad8s,50,0,50,0
Ad9s,50,25,25,0
AdTs,0,0,100,0
AdJs,0,0,100,0
AdQs,0,25,75,0
AdKs,0,25,75,0
2h2c,100,0,0,0
2h2d,100,0,0,0
3h2c,0,0,0,100
3h3c,100,0,0,0
3h2d,0,0,0,100
3h3d,100,0,0,0
3h2h,0,0,100,0
3h2s,0,0,0,100
4h2c,0,0,0,100
4h3c,0,0,75,25
4h4c,50,0,50,0
4h2d,0,0,0,100
4h3d,0,0,75,25
4h4d,50,0,50,0
4h2h,0,0,100,0
4h3h,0,0,100,0
4h2s,0,0,0,100
4h3s,0,0,75,25
5h2c,0,0,50,50
5h3c,0,0,100,0
5h4c,0,25,75,0
5h5c,0,0,100,0
5h2d,0,0,50,50
5h3d,0,0,100,0
5h4d,0,25,75,0
5h5d,0,0,100,0
5h2h,0,0,100,0
5h3h,0,0,100,0
5h4h,0,0,100,0
5h2s,0,0,50,50
5h3s,0,0,100,0
5h4s,0,25,75,0
6h2c,0,0,0,100
6h3c,0,0,100,0
6h4c,0,0,100,0
6h5c,0,25,75,0
6h6c,0,25,75,0
6h2d,0,0,0,100
6h3d,0,0,100,0
6h4d,0,0,100,0
6h5d,0,25,75,0
6h6d,0,25,75,0
6h2h,0,25,75,0
6h3h,0,25,75,0
6h4h,0,0,100,0
6h5h,25,0,75,0
6h2s,0,0,0,100
6h3s,0,0,100,0
6h4s,0,0,100,0
6h5s,0,25,75,0
7h2c,0,0,0,100
7h3c,0,0,25,75
7h4c,0,0,100,0
7h5c,0,0,100,0
7h6c,0,0,100,0
7h7c,0,0,100,0
7h2d,0,0,0,100
7h3d,0,0,25,75
7h4d,0,0,100,0
7h5d,0,0,100,0
7h6d,0,0,100,0
7h7d,0,0,100,0
7h2h,0,0,100,0
7h3h,0,25,75,0
7h4h,0,0,100,0
7h5h,0,0,100,0
7h6h,50,0,50,0
7h2s,0,0,0,100
7h3s,0,0,25,75
7h4s,0,0,100,0
7h5s,0,0,100,0
7h6s,0,0,100,0
8h2c,0,0,0,100
8h3c,0,0,50,50
8h4c,0,0,100,0
8h5c,0,0,100,0
8h6c,0,0,100,0
8h7c,0,0,100,0
8h8c,0,0,100,0
8h2d,0,0,0,100
8h3d,0,0,50,50
8h4d,0,0,100,0
8h5d,0,0,100,0
8h6d,0,0,100,0
8h7d,0,0,100,0
8h8d,0,0,100,0
8h2h,0,0,100,0
8h3h,0,25,75,0
8h4h,0,50,50,0
8h5h,0,0,100,0
8h6h,0,0,100,0
8h7h,75,25,0,0
8h2s,0,0,0,100
8h3s,0,0,50,50
8h4s,0,0,100,0
8h5s,0,0,100,0
8h6s,0,0,100,0
8h7s,0,0,100,0
9h2c,0,0,80,20
9h3c,0,0,100,0
9h4c,0,0,100,0
9h5c,0,25,75,0
9h6c,0,25,75,0
9h7c,0,25,75,0
9h8c,0,0,100,0
9h9c,0,25,75,0
9h2d,0,0,80,20
9h3d,0,0,100,0
9h4d,0,0,100,0
9h5d,0,25,75,0
9h6d,0,25,75,0
9h7d,0,25,75,0
9h8d,0,0,100,0
9h9d,0,25,75,0
9h2h,0,25,75,0
9h3h,0,25,75,0
9h4h,0,50,50,0
9h5h,0,0,100,0
9h6h,0,0,100,0
9h7h,25,0,75,0
9h8h,0,25,75,0
9h2s,0,0,80,20
9h3s,0,0,100,0
9h4s,0,0,100,0
9h5s,0,25,75,0
9h6s,0,25,75,0
9h7s,0,25,75,0
9h8s,0,0,100,0
Th2c,0,0,100,0
Th3c,0,0,100,0
Th4c,0,0,100,0
Th5c,0,0,100,0
Th6c,0,25,75,0
Th7c,0,25,75,0
Th8c,0,25,75,0
Th9c,0,0,100,0
ThTc,0,25,75,0
Th2d,0,0,100,0
Th3d,0,0,100,0
Th4d,0,0,100,0
Th5d,0,0,100,0
Th6d,0,25,75,0
Th7d,0,25,75,0
Th8d,0,25,75,0
Th9d,0,0,100,0
ThTd,0,25,75,0
Th2h,0,0,100,0
Th3h,0,25,75,0
Th4h,0,0,100,0
Th5h,0,25,75,0
Th6h,0,0,100,0
Th7h,0,0,100,0
Th8h,0,25,75,0
Th9h,0,25,75,0
Th2s,0,0,100,0
Th3s,0,0,100,0
Th4s,0,0,100,0
Th5s,0,0,100,0
Th6s,0,25,75,0
Th7s,0,25,75,0
Th8s,0,25,75,0
Th9s,0,0,100,0
Jh2c,0,0,100,0
Jh3c,0,0,100,0
Jh4c,0,0,100,0
Jh5c,0,25,75,0
Jh6c,0,25,75,0
Jh7c,0,25,75,0
Jh8c,0,25,75,0
Jh9c,0,0,100,0
JhTc,0,0,100,0
JhJc,0,0,100,0
Jh2d,0,0,100,0
Jh3d,0,0,100,0
Jh4d,0,0,100,0
Jh5d,0,25,75,0
Jh6d,0,25,75,0
Jh7d,0,25,75,0
Jh8d,0,25,75,0
Jh9d,0,0,100,0
JhTd,0,0,100,0
JhJd,0,0,100,0
Jh2h,0,0,100,0
Jh3h,0,0,100,0
Jh4h,0,0,100,0
Jh5h,0,0,100,0
Jh6h,0,0,100,0
Jh7h,0,0,100,0
Jh8h,0,0,100,0
Jh9h,0,25,75,0
JhTh,0,25,75,0
Jh2s,0,0,100,0
Jh3s,0,0,100,0
Jh4s,0,0,100,0
Jh5s,0,25,75,0
Jh6s,0,25,75,0
Jh7s,0,25,75,0
Jh8s,0,25,75,0
Jh9s,0,0,100,0
JhTs,0,0,100,0
Qh2c,0,0,100,0
Qh3c,0,0,100,0
Qh4c,0,0,100,0
Qh5c,0,25,75,0
Qh6c,0,25,75,0
Qh7c,0,25,75,0
Qh8c,0,25,75,0
Qh9c,0,0,100,0
QhTc,0,25,75,0
QhJc,0,25,75,0
QhQc,0,25,75,0
Qh2d,0,0,100,0
Qh3d,0,0,100,0
Qh4d,0,0,100,0
Qh5d,0,25,75,0
Qh6d,0,25,75,0
Qh7d,0,25,75,0
Qh8d,0,25,75,0
Qh9d,0,0,100,0
QhTd,0,25,75,0
QhJd,0,25,75,0
QhQd,0,25,75,0
Qh2h,0,0,100,0
Qh3h,0,0,100,0
Qh4h,0,0,100,0
Qh5h,0,0,100,0
Qh6h,0,0,100,0
Qh7h,0,0,100,0
Qh8h,75,0,25,0
Qh9h,0,0,100,0
QhTh,0,0,100,0
QhJh,0,0,100,0
Qh2s,0,0,100,0
Qh3s,0,0,100,0
Qh4s,0,0,100,0
Qh5s,0,25,75,0
Qh6s,0,25,75,0
Qh7s,0,25,75,0
Qh8s,0,25,75,0
Qh9s,0,0,100,0
QhTs,0,25,75,0
QhJs,0,25,75,0
Kh2c,0,0,100,0
Kh3c,0,0,100,0
Kh4c,0,0,100,0
Kh5c,0,25,75,0
Kh6c,0,25,75,0
Kh7c,0,25,75,0
Kh8c,0,25,75,0
Kh9c,0,25,75,0
KhTc,25,25,50,0
KhJc,0,25,75,0
KhQc,0,25,75,0
KhKc,0,25,75,0
Kh2d,0,0,100,0
Kh3d,0,0,100,0
Kh4d,0,0,100,0
Kh5d,0,25,75,0
Kh6d,0,25,75,0
Kh7d,0,25,75,0
Kh8d,0,25,75,0
Kh9d,0,25,75,0
KhTd,25,25,50,0
KhJd,0,25,75,0
KhQd,0,25,75,0
KhKd,0,25,75,0
Kh2h,0,0,100,0
Kh3h,0,0,100,0
Kh4h,0,0,100,0
Kh5h,50,0,50,0
Kh6h,75,0,25,0
Kh7h,0,0,100,0
Kh8h,0,0,100,0
Kh9h,0,0,100,0
KhTh,0,0,100,0
KhJh,0,0,100,0
KhQh,0,25,75,0
Kh2s,0,0,100,0
Kh3s,0,0,100,0
Kh4s,0,0,100,0
Kh5s,0,25,75,0
Kh6s,0,25,75,0
Kh7s,0,25,75,0
Kh8s,0,25,75,0
Kh9s,0,25,75,0
KhTs,25,25,50,0
KhJs,0,25,75,0
KhQs,0,25,75,0
Ah2c,100,0,0,0
Ah3c,100,0,0,0
Ah4c,100,0,0,0
Ah5c,75,0,25,0
Ah6c,50,0,50,0
Ah7c,25,0,75,0
Ah8c,50,0,50,0
Ah9c,50,25,25,0
AhTc,0,0,100,0
AhJc,0,0,100,0
AhQc,0,25,75,0
AhKc,0,25,75,0
AhAc,0,75,25,0
Ah2d,100,0,0,0
Ah3d,100,0,0,0
Ah4d,100,0,0,0
Ah5d,75,0,25,0
Ah6d,50,0,50,0
Ah7d,25,0,75,0
Ah8d,50,0,50,0
Ah9d,50,25,25,0
AhTd,0,0,100,0
AhJd,0,0,100,0
AhQd,0,25,75,0
AhKd,0,25,75,0
AhAd,0,75,25,0
Ah2h,50,0,50,0
Ah3h,0,0,100,0
Ah4h,0,0,100,0
Ah5h,0,0,100,0
Ah6h,0,0,100,0
Ah7h,0,25,75,0
Ah8h,0,25,75,0
Ah9h,0,50,50,0
AhTh,0,25,75,0
AhJh,0,25,75,0
AhQh,0,75,25,0
AhKh,0,75,25,0
Ah2s,100,0,0,0
Ah3s,100,0,0,0
Ah4s,100,0,0,0
Ah5s,75,0,25,0
Ah6s,50,0,50,0
Ah7s,25,0,75,0
Ah8s,50,0,50,0
Ah9s,50,25,25,0
AhTs,0,0,100,0
AhJs,0,0,100,0
AhQs,0,25,75,0
AhKs,0,25,75,0
2s2c,100,0,0,0
2s2d,100,0,0,0
2s2h,100,0,0,0
3s2c,0,0,0,100
3s3c,100,0,0,0
3s2d,0,0,0,100
3s3d,100,0,0,0
3s2h,0,0,0,100
3s3h,100,0,0,0
3s2s,0,0,100,0
4s2c,0,0,0,100
4s3c,0,0,75,25
4s4c,50,0,50,0
4s2d,0,0,0,100
4s3d,0,0,75,25
4s4d,50,0,50,0
4s2h,0,0,0,100
4s3h,0,0,75,25
4s4h,50,0,50,0
4s2s,0,0,100,0
4s3s,0,0,100,0
5s2c,0,0,50,50
5s3c,0,0,100,0
5s4c,0,25,75,0
5s5c,0,0,100,0
5s2d,0,0,50,50
5s3d,0,0,100,0
5s4d,0,25,75,0
5s5d,0,0,100,0
5s2h,0,0,50,50
5s3h,0,0,100,0
5s4h,0,25,75,0
5s5h,0,0,100,0
5s2s,0,0,100,0
5s3s,0,0,100,0
5s4s,0,0,100,0
6s2c,0,0,0,100
6s3c,0,0,100,0
6s4c,0,0,100,0
6s5c,0,25,75,0
6s6c,0,25,75,0
6s2d,0,0,0,100
6s3d,0,0,100,0
6s4d,0,0,100,0
6s5d,0,25,75,0
6s6d,0,25,75,0
6s2h,0,0,0,100
6s3h,0,0,100,0
6s4h,0,0,100,0
6s5h,0,25,75,0
6s6h,0,25,75,0
6s2s,0,25,75,0
6s3s,0,25,75,0
6s4s,0,0,100,0
6s5s,25,0,75,0
7s2c,0,0,0,100
7s3c,0,0,25,75
7s4c,0,0,100,0
7s5c,0,0,100,0
7s6c,0,0,100,0
7s7c,0,0,100,0
7s2d,0,0,0,100
7s3d,0,0,25,75
7s4d,0,0,100,0
7s5d,0,0,100,0
